ID,Text,Comment
Building.GeothermalEngine.Description,Una gran turbina que aprofita un camp geotèrmic per generar energia.,
Building.GeothermalEngine.DisplayName,Geothermal Engine,
Building.GeothermalEngine.FlavorDescription,No té personal sobretot per la pudor.,
Building.GeothermalField.Description,Una font d'energia constant i gratuïta que es pot aprofitar amb el dispositiu adequat.,
Building.GeothermalField.DisplayName,Camp Geotèrmic,
Building.GeothermalField.FlavorDescription,És energia verda si és groga?,
Building.GravityBattery.Description,"Emmagatzema excedent d'energia i el retorna quan la xarxa té manca d'energia. Com més amunt es construeix, més energia pot emmagatzemar.",
Building.GravityBattery.DisplayName,Bateria de Gravetat,"A battery in the form of a crane, that stores power by raising a heavy weight above the ground."
Building.GravityBattery.FlavorDescription,Heus aquí el que pots fer quan inventes les teves pròpies lleis de la física.,Gravity batteries in the real world do not make sense from the physics standpoint.
Building.GreaseFactory.Description,Una fàbrica que produeix greix lliscós que fa funcionar més fi la maquinària dels bots.,Bots should be the same as in Bot.TemplateName. Grease should be the same as Good.Grease.DisplayName.
Building.GreaseFactory.DisplayName,Fàbrica de Greix,Grease should be the same as Good.Grease.DisplayName.
Building.GreaseFactory.FlavorDescription,"""Bé, un bot podria ser sistemàtic, hidromàtic... Per què no engreixat?"" —Ol' Kazko","Reference to the song ""Greased Lightning"" from the movie ""Grease"" (1978). Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.Grill.Description,Rosteix verdures.,
Building.Grill.DisplayName,Graella,A place that grills
Building.Grill.FlavorDescription,"""Aixafa'ls, bull-los, fes-los a la planxa en una paella antiadherent!"" —""500 maneres de menjar una patata"", de Ma' Ngonel","Adapted quote from Lord of the Rings paired with a nod to an infamous Soviet-era cookbook ""500 potato dishes"". Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Gristmill.Description,Mol arrels i llavors en farina.,"Plant matter meaning different parts of plants, such as roots or flowers."
Building.Gristmill.DisplayName,Molí,
Building.Gristmill.FlavorDescription,Els sabors més refinats van donar pas a menjars més refinats.,
Building.Hammock.Description,Una hamaca per descansar balancejant-se.,
Building.Hammock.DisplayName,Hamaca,A free-standing hammock that beavers can rest in.
Building.Hammock.FlavorDescription,"Abans es lligaven als arbres, fins que va haver-hi massa accidents tallant-los.",
Building.HaulingPost.Description,"Els transportistes ajuden els treballadors d'un districte a portar béns, augmentant molt la seva productivitat.",
Building.HaulingPost.DisplayName,Centre de transport,Keep different from Flag buildings since the building is of a different category than flags.
Building.HaulingPost.FlavorDescription,Els castors més musculosos de tots: no vols trepitjar la cua d'un transportista.,
Building.Hedge.Description,Una bardissa decorativa en test.,
Building.Hedge.DisplayName,Bardissa,
Building.Hedge.FlavorDescription,Cap laberint de bardisses és un repte quan el pots rosegar.,
Building.Herbalist.Description,Elabora antídots que curen castors contaminats.,Antidote should be the same as Good.Antidote. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project.
Building.Herbalist.DisplayName,Herbolari,A building that serves as an antidote factory. It doesn't heal beavers inside.
Building.Herbalist.FlavorDescription,L'aparell de preparació s'utilitza estrictament amb finalitats mèdiques.,This building kind of resembles an alcohol brewery.
Building.HttpAdapter.Description,"Converteix el seu senyal d'entrada en un endpoint d'API i crides webhook, sigui el que sigui això.",
Building.HttpAdapter.DisplayName,Adaptador HTTP,A building that makes HTTP calls.
Building.HttpAdapter.Method,Mètode,A label for a dropdown for selecting between HTTP request methods: GET vs POST.
Building.HttpAdapter.Status,Estat: {0},
Building.HttpAdapter.Status.Error,Error,
Building.HttpAdapter.Status.OK,OK,
Building.HttpAdapter.Url,URL,
Building.HttpAdapter.WebhookWhenSwitchedOff,Cridar quan s'apaga,This is followed by a URL field which is called when the object is switched off.
Building.HttpAdapter.WebhookWhenSwitchedOn,Cridar quan s'encén,This is followed by a URL field which is called when the object is switched on.
Building.HttpLever.Description,Una palanca controlada per API. Els humans en van deixar un munt escampades.,This is the description of a buildings which is called 'HTTP Server' and the first sentence is about humans who left a lot of servers lying around.
Building.HttpLever.DisplayName,Palanca HTTP,A lever which can be controlled by API. It is an upgraded version of the normal Lever (Building.Lever.DisplayName) so the names should correspond to each other.
Building.HttpLever.SwitchOffUrl,URL d'apagada,An API URL which switches off this object.
Building.HttpLever.SwitchOnUrl,URL d'encesa,An API URL which switches on this object.
Building.HydroponicGarden.Description,Cultiva plantes no aptes per a l'agricultura exterior.,
Building.HydroponicGarden.DisplayName,Jardí hidropònic,An artificial garden that's used to cultivate special plants.
Building.HydroponicGarden.FlavorDescription,La idea va néixer després de descobrir unes ruïnes humanes humides cobertes de fongs de creixement ràpid.,"Referencing Timberborn's post-apo theme, but also a little bit of The Last of Us."
Building.ImpermeableFloor.Description,Un panell de terra que evita filtracions d'aigua.,
Building.ImpermeableFloor.DisplayName,Terra impermeable,"It's a metal floor tile that doesn't let any water through, hence Impermeable."
Building.ImpermeableFloor.FlavorDescription,Tot va començar quan un castor es va cansar del soroll d'un sostre que degotava.,
Building.Indicator.Description,Un llum indicador amb capacitat d'alerta.,An API URL which switches on this object.
Building.Indicator.DisplayName,Indicador,"An building which is an indicator light - when it receives a signal it lights up and optionally raises an alarm. Alternative names: Alarm, Annunciator, Signal, Beacon."
Building.Indicator.JournalEntryWhenSwitchedOn,Afegeix una entrada al diari quan s'encén,A label for a toggle which makes this indicator add a journal entry when its input signal is switched on.
Building.Indicator.ReplicateInputColor,Replica el color d'entrada,A label for a toggle which makes this indicator set its color to its input signal color.
Building.Indicator.WarningWhenSwitchedOn,Mostra un avís quan s'encén,A label for a toggle which makes this indicator show a warning in GUI.
Building.IndustrialLumberMill.Description,Fabrica taulons a partir de troncs. El seu disseny innovador hi encabeix més treballadors al mateix espai.,"Planks should be the same as Good.Plank.DisplayName, Logs should be the same as Good.Log.DisplayName"
Building.IndustrialLumberMill.DisplayName,Serradora industrial,Lumber Mill should be the same as in Building.LumberMill.DisplayName
Building.IndustrialLumberMill.FlavorDescription,Dues serres són millor que una.,"Referencing the ""two beavers are better than one"" song, plus the IT lumbermill has two saws rather than one that's in the FT version."
Building.Inventor.DisplayName,Inventor,
Building.Inventor.FlavorDescription,"Inspirats pel llegat d'Ol' Kazko, els inventors castors sempre tenen ganes de millorar la seva tecnofusta.","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.IrrigationBarrier.Description,Evita que el reg del sòl i la contaminació s'estenguin per sota.,Name of the building that stops spreading soil contamination that's placed on the ground and is presented as square with objects sticking out of the ground.
Building.IrrigationBarrier.DisplayName,Barriera de reg,Name of the building that stops spreading soil irrigation (both moisture and contamination) that's placed on the ground and is presented as square with objects sticking out of the ground. Barrier should be the same between Building.IrrigationBarrier.DisplayName and Building.ContaminationBarrier.DisplayName.
Building.IrrigationBarrier.FlavorDescription,Els Dents de Ferro estan encantats de controlar tots els aspectes de la vida al desert.,Iron Teeth must be the same as Faction.IronTeeth.DisplayName.
Building.LaborerMonument.DisplayName,Monument al treballador,Name of a monument
Building.LaborerMonument.FlavorDescription,"Fins i tot després que el treball manual donés pas a la industrialització, l'ètica laboral dels Dents de Ferro no ha canviat.",
Building.Lantern.Description,Un fanal decoratiu.,
Building.Lantern.DisplayName,Fanal,
Building.Lantern.FlavorDescription,"De naturalesa nocturna, els castors moderns se senten una mica inquiets quan és fosc.",
Building.LargeBarrack.DisplayName,Barracó gran,Barracks are cramped homes for beavers. Not related to soldiers. A bigger variant of Building.Barrack.
Building.LargeBarrack.FlavorDescription,"Què és això de la ""privacitat""?",Barracks are very cramped so there isn't much private space.
Building.LargeIndustrialPile.DisplayName,Pila industrial gran,
Building.LargeIndustrialPile.FlavorDescription,Què és millor que una pila? Una pila de piles.,"The building is an improved, stackable variant of Building.LargePile"
Building.LargePile.DisplayName,Pila gran,
Building.LargePile.FlavorDescription,"Malauradament, ningú porta el compte de quanta fusta entra i surt.","""Log"" pun — feel free to adapt."
Building.LargePowerWheel.Description,"Una font d'energia accionada per castors, redissenyada per ocupar diversos treballadors.",
Building.LargePowerWheel.DisplayName,Roda d'energia gran,
Building.LargePowerWheel.FlavorDescription,Els Dents de Ferro volien el seu propi carrusel.,Iron Teeth must be the same as Faction.IronTeeth.DisplayName.
Building.LargeRelic.FlavorDescription,"""Alguns humans eren tan grossos que menjaven d'això."" —Suli","Large relic is a ruined radar dish, looks like a bowl. Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible."
Building.LargeRowhouse.DisplayName,Casa adossada gran,"A rowhouse is a narrow and tall house that is connected to other homes on both sides, often built in a row. Building.Rowhouse"
Building.LargeRowhouse.FlavorDescription,Els Dents de Ferro han desenvolupat un complex d'edificis en alçada.,Referencing 'complex' meaning a group of buildings as well as a psychological behaviour.
Building.LargeTank.DisplayName,Dipòsit gran,
Building.LargeTank.FlavorDescription,"Malgrat els esforços dels cadells per fer-lo servir de piscina, aquest dipòsit es va dissenyar per a ús industrial.",
Building.LargeWarehouse.DisplayName,Magatzem gran,
Building.LargeWarehouse.FlavorDescription,"Amb tants béns a dins, no hi ha espai ni per moure la cua.","""No room to swing a cat"" is an English idiom, feel free to adapt."
Building.LargeWaterPump.Description,Bombeja i filtra grans quantitats d'aigua per beure. La contaminació per aigua tòxica n'alenteix la velocitat de bombeig.,Badwater should be the same as Good.Badwater.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project.
Building.LargeWaterPump.DisplayName,Bomba d'aigua gran,A large variant of the normal water pump. Pump should be the same as in Building.WaterPump.DisplayName.
Building.LargeWaterPump.FlavorDescription,"""Amb el dipòsit d'aigua, podem beure cada dia."" —""The Shores of Beaver Bay""","""The Shores of Beaver Bay"" is a song composed by the Timberborn community."
Building.LargeWaterWheel.Description,Una roda d'aigua més gran i més eficient. Recolzada des del costat.,
Building.LargeWaterWheel.DisplayName,Roda d'aigua gran,A water wheel that's bigger than other versions.
Building.LargeWaterWheel.FlavorDescription,"""Et caldrà una roda més gran."" —Ol' Kazko","Reference to a famous one-liner from ""Jaws"" (""you're gonna need a bigger boat"")"
Building.LargeWindTurbine.Description,Genera més energia de manera proporcional a la velocitat del vent.,
Building.LargeWindTurbine.DisplayName,Aerogenerador gran,Advanced wind turbine that can rotate.
Building.LargeWindTurbine.FlavorDescription,No hi ha millor vent que el de cua.,"Tailwind being a wind blowing from behind, a pun since beavers have tails."
Building.Levee.Description,Bloqueja completament l'aigua.,
Building.Levee.DisplayName,Dic,Different to a Dam
Building.Levee.FlavorDescription,"Equilibrat, reforçat i modelat a la perfecció per generacions d'enginyers hidràulics castors; això no és ""només un bloc de fusta"".",
Building.Lever.Description,Envia un senyal controlat manualment. Un gran primer pas per automatitzar un assentament.,
Building.Lever.DisplayName,Palanca,A lever as that can be moved up or down to activate something. An alternative name would be 'Switch'.
Building.Lever.SpringReturn,Retorn per molla,"Keep short. Checkbox label - when a lever is in spring-return mode, it means that after switching on, it momentarily switches off."
Building.Lever.SwitchOff,Apaga,Button label.
Building.Lever.SwitchOn,Encén,Button label.
Building.Lido.Description,Un lloc perfecte per relaxar-se al costat del riu.,
Building.Lido.DisplayName,Lido,Lido as in a swimming pool. Built on a river bank and used to relax. Includes a swimming area and a small land area with a few lawn chairs.
Building.Lido.FlavorDescription,"Per celebrar el primer bany dels cadells, els castors fan una festa a la piscina.",Kits are young beavers.
Building.Lodge.Description,Un lloc on passar la nit.,
Building.Lodge.DisplayName,Lògia,Type of housing; named after the beaver lodges
Building.Lodge.FlavorDescription,"""Antigament una lògia era només una lògia. I ara? No ho sé pas."" —Ma' Ngonel",
Building.LumberMill.Description,Fabrica taulons a partir de troncs.,Planks and Logs are resources so this needs to be consistent with their name
Building.LumberMill.DisplayName,Serradora,
Building.LumberMill.FlavorDescription,"Amb l'empenta d'Ol' Kazko, el processament mecanitzat de fusta va fer grinyolar moltes dents entre els castors més grans.","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.LumberjackFlag.Description,Dona feina a un llenyataire que talla arbres.,
Building.LumberjackFlag.DisplayName,Bandera de llenyataire,Flag' could also be a Post or something similar as long as it is consistent with other Flags and different from Haulers Post
Building.LumberjackFlag.FlavorDescription,"""Som llenyataires, i així és com va: dormim tota la nit i treballem tot el dia!"" —cançó popular castora","Adapted from Monthy Python's ""Lumberjack Song"""
Building.MechanicalFluidPump.Description,Bombeja aigua o aigua tòxica per un costat i la descarrega per l'altre. Més eficient que una bomba normal.,Badwater should be the same as Good.Badwater.DisplayName.
Building.MechanicalFluidPump.DisplayName,Bomba mecànica de fluids,A mechanically powered water pump.
Building.MechanicalFluidPump.FlavorDescription,Millor aigua corrent que córrer amb galledes.,Running water meaning water that is moving.
Building.MedicalBed.Description,Els castors ferits hi jeuen per descansar i curar-se.,
Building.MedicalBed.DisplayName,Llit mèdic,A place where injured beavers come to lie down and rest
Building.MedicalBed.FlavorDescription,"""Només és una rascada. Puc tornar a la feina?"" —Pina",Monty Python reference.
Building.MediumRelic.FlavorDescription,"""De vegades pots veure'n caure del cel."" —Ma' Ngonel","Medium Relic is a crashed satellite. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.MediumTank.DisplayName,Dipòsit mitjà,
Building.MediumTank.FlavorDescription,"Després de la Gran Sequera, els castors van establir la norma de tenir-ne sempre uns quants.",The Great Drought should remain capitalized to indicate it's a name of an event.
Building.MediumWarehouse.DisplayName,Magatzem mitjà,
Building.MediumWarehouse.FlavorDescription,Emmagatzemar correctament els béns és clau per sobreviure als perills d'un món postapocalíptic.,
Building.MemorialToFamily.DisplayName,Memorial a la família,A large brazier surrounded by statues of a beaver family
Building.Memory.Description,Canvia i manté el seu estat en resposta a seqüències d'entrada específiques. Una pedra angular de l'automatització avançada.,
Building.Memory.DisplayName,Memòria,A structure in game which can remember data.
Building.Memory.Mode.FlipFlop,Flip-flop,An electronic component mode which flips between zero and one in response to specific input signals. 'Flip-flop' is a popular term in electronics.
Building.Memory.Mode.FlipFlop.Description,Captura <YellowHighlight>{0}</YellowHighlight> quan <YellowHighlight>{1}</YellowHighlight> s'activa.,This describes a mode of an electronic component. {0} and {1} are input names such as A or B but styled like keywords so do not worry about articles. Notice the subtles difference with other modes between 'is on' (meaning something happens for the whole duration when a signal is On) VS 'switches on' (meaning something happens the moment a signal changes from Off to On).
Building.Memory.Mode.Latch,Balda,An electronic component mode which memorizes data in response to specific input signals. 'Latch' is a popular term in electronics.
Building.Memory.Mode.Latch.Description,Captura <YellowHighlight>{0}</YellowHighlight> mentre <YellowHighlight>{1}</YellowHighlight> està actiu.,This describes a mode of an electronic component. {0} and {1} are input names such as A or B but styled like keywords so do not worry about articles. Notice the subtles difference with other modes between 'is on' (meaning something happens for the whole duration when a signal is On) VS 'switches on' (meaning something happens the moment a signal changes from Off to On).
Building.Memory.Mode.SetReset,Set-Reset,An electronic component mode which flips between zero and one in response to specific input signals. 'Set-Reset' is a popular term in electronics.
Building.Memory.Mode.SetReset.Description,"S'activa quan <YellowHighlight>{0}</YellowHighlight> s'activa.", This describes a mode of an electronic component. {0} and {2} are input names such as A or B but styled like keywords so do not worry about articles.
Building.Memory.Mode.Toggle,Toggle,An electronic component mode which flips state every time it receives a signal. 'Toggle' is a popular term in electronics.
Building.Memory.Mode.Toggle.Description,Inverteix l'estat quan <YellowHighlight>{0}</YellowHighlight> s'activa.,This describes a mode of an electronic component. {0} is an input name such as A or B but styled like a keyword so do not worry about articles. Notice the subtles difference with other modes between 'is on' (meaning something happens for the whole duration when a signal is On) VS 'switches on' (meaning something happens the moment a signal changes from Off to On). 'Flips' here means that it inverts its state - from zero to one or from one to zero.
Building.MetalFence.Description,Una tanca decorativa de metall.,
Building.MetalFence.DisplayName,Tanca metàl·lica,
Building.MetalFence.FlavorDescription,Compte amb el castor que prefereix el metall a la fusta.,"Reference to ""beware the dog"" often written on fences."
Building.MetalPlatform.FlavorDescription,"""Aquesta taula semblava més petita al catàleg."" —Ma' Ngonel","This platform looks like an enormours metal table, and Ma' Ngnonel is an older beaver. Please keep her name the same as in other localized flavor texts."
Building.MetalPlatform3x3.Description,Una plataforma metàl·lica sostinguda per una columna central robusta.,
Building.MetalPlatform3x3.DisplayName,Plataforma metàl·lica 3x3,Numbers at the end denote size X by Y.
Building.MetalPlatform5x5.Description,Una gran plataforma metàl·lica sostinguda per una columna central robusta.,
Building.MetalPlatform5x5.DisplayName,Plataforma metàl·lica 5x5,Numbers at the end denote size X by Y.
Building.Metalsmith.Description,Fabrica peces metàl·liques simples a partir de ferralla.,
Building.Metalsmith.DisplayName,Metal·lúrgia,
Building.Metalsmith.FlavorDescription,"""Si vols que duri, fes-ho de metall. Això sí que ho feien bé, els humans."" —Ol' Kazko","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.Mine.Description,Dóna feina a miners que extreuen ferralla de les Ruïnes subterrànies.,"Underground Ruins is a building, same as Building.Underground Ruins.DisplayName"
Building.Mine.DisplayName,Mina,An extracting facility which can be placed on underground ruins.
Building.Mine.FlavorDescription,No existeix això d'excavar massa endins o amb massa ambició.,"The mine provides an endless supply of scrap metal. Reference to 'they delved too greedily and too deep, and disturbed that from which they fled, Durin's Bane' from LOTR"
Building.MiniLodge.Description,Una lògia petita per a un únic castor.,
Building.MiniLodge.DisplayName,Mini lògia,A small lodge for only one beaver
Building.MiniLodge.FlavorDescription,Un també està bé.,Referencing 'Two Beavers Are Better Than One' meme-song from 'How I Met Your Mother' TV show.
Building.Motivatorium.Description,Un teatre mecànic que ensenya els valors fonamentals dels Dents de Ferro.,Iron Teeth must be the same as Faction.IronTeeth.DisplayName.
Building.Motivatorium.DisplayName,Motivatori,
Building.Motivatorium.FlavorDescription,"""Dia rere dia, nit rere nit, lluitem. És preciós."" —Ol' Kazko","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.MudBath.Description,Un bany de fang amb bombolles infusionades mecànicament.,
Building.MudBath.DisplayName,Bany de fang,"A mud bath infused with bubbles, basically a jacuzzi but that word is too human."
Building.MudBath.FlavorDescription,D'on surten aquestes bombolles?,Fart joke but it's easy to see it as bubbles all appear in the middle of the bath where the visitors' tails are directed.
Building.MudPit.Description,Un spa de fang relaxant.,This building allows beavers to relax in an area similar to a spa.
Building.MudPit.DisplayName,Fossa de fang,"This building is a pit filled with mud, not for storage but entertainment."
Building.MudPit.FlavorDescription,Aquí és on els cadells construeixen els seus primers dicets.,
Building.NaturalDam.Description,Una barrera natural que bloqueja l'aigua però en deixa passar una part pel sobreeixidor superior. Es pot demolir.,
Building.NaturalDam.DisplayName,Resclosa natural,
Building.NaturalDam.FlavorDescription,Costa de creure que hi hagués temps més simples en què fang i branques ja feien de resclosa.,
Building.NaturalOverhang.Description,Una plataforma rocosa sortint que fa de pont o fonament. És estanca.,
Building.NaturalOverhang.FlavorDescription,"""Només assegura't que hi hagi aigua a sota abans de saltar!"" —Suli",
Building.NaturalOverhang2x1.DisplayName,Voladís natural 2x1,This structure is a solid rock overhang. Numbers at the end denote size X by Y.
Building.NaturalOverhang3x1.DisplayName,Voladís natural 3x1,This structure is a solid rock overhang. Numbers at the end denote size X by Y.
Building.NaturalOverhang4x1.DisplayName,Voladís natural 4x1,This structure is a solid rock overhang. Numbers at the end denote size X by Y.
Building.Numbercruncher.Description,Una màquina complicada que resol càlculs sense necessitat d'operadors castors.,This machine is a primitive computer.
Building.Numbercruncher.DisplayName,Calculadora,A machine that's a primitive computer. It generates science points by performing research.
Building.Numbercruncher.FlavorDescription,Molt superior al ja retirat Mastegadígits.,"Suggests that beavers - just like hoomans - create new generations of ""computers"" and retire old ones."
Building.Observatory.Description,"Explorant les estrelles, els castors adquireixen més coneixement del món on viuen.",A building where beavers look into the space using telescopes
Building.Observatory.DisplayName,Observatori,A building where beavers look into the space using telescopes
Building.Observatory.FlavorDescription,El següent pas lògic després de mirar les estrelles al costat de la foguera.,
Building.OilPress.Description,Extreu oli de plantes adequades.,Oil should be the same as in Building.OilPress.DisplayName
Building.OilPress.DisplayName,Premsa d'oli,A building that's a giant press that squeezes out oil.
Building.OilPress.FlavorDescription,Els cadells curiosos l'utilitzen per esclafar de tot: des de galetes fins a pinyes.,"The process of squishing things with hydraulic press filmed in slo-mo is oddly fascinating, and makes for popular YT videos."
Building.Overhang.Description,Una plataforma sortint que pot fer de pont o de fonament per a altres edificis.,
Building.Overhang.FlavorDescription,"""Oh, sembla que estem construint una escala cap als núvols. Em fa pensar..."" —Pina",
Building.Overhang2x1.DisplayName,Voladís 2x1,An artificial overhang made out of wood and metal that allows new buildings to be put on top of it. Numbers at the end denote size X by Y.
Building.Overhang3x1.DisplayName,Voladís 3x1,An artificial overhang made out of wood and metal that allows new buildings to be put on top of it. Numbers at the end denote size X by Y.
Building.Overhang4x1.DisplayName,Voladís 4x1,An artificial overhang made out of wood and metal that allows new buildings to be put on top of it. Numbers at the end denote size X by Y.
Building.Overhang5x1.DisplayName,Voladís 5x1,An artificial overhang made out of wood and metal that allows new buildings to be put on top of it. Numbers at the end denote size X by Y.
Building.Overhang6x1.DisplayName,Voladís 6x1,An artificial overhang made out of wood and metal that allows new buildings to be put on top of it. Numbers at the end denote size X by Y.
Building.PaperMill.Description,Una fàbrica de paper mecanitzada.,Paper is a name of a good.
Building.PaperMill.DisplayName,Molí de paper,
Building.PaperMill.FlavorDescription,El que va començar com un aperitiu sec per als carronyaires de seguida va trobar molts altres usos.,
Building.Path.Description,Els edificis han d'estar connectats per camins.,
Building.Path.DisplayName,Camí,
Building.Path.FlavorDescription,"""Camins del país, porteu-me a casa, a la lògia a la qual pertanyo."" —cançó popular castora","Adapted from ""Take Me Home, Country Roads"" by John Denver"
Building.PlankFence.Description,Una tanca decorativa feta de taulons.,
Building.PlankFence.DisplayName,Tanca de taulons,
Building.Platform.Description,Una plataforma elevada que pot fer de pont o de fonament per a altres edificis.,
Building.Platform.DisplayName,Plataforma,
Building.Platform.FlavorDescription,La impressionant capacitat de càrrega de les plataformes castores les converteix en obres mestres de l'enginyeria.,
Building.PoleBanner.Description,Una pancarta alta i personalitzable.,
Building.PoleBanner.DisplayName,Pancarta de pal,"Tall, hanging banner on a pole."
Building.PoleBanner.FlavorDescription,Es va aixecar ben amunt per evitar que els cadells vandalitzessin els dibuixos.,
Building.PopulationCounter.DisplayName,Comptador de població,"An automation building which monitors various population counters such as total population, homeless, workplaces, vacancies etc."
Building.PopulationCounter.Description,"Supervisa diverses mètriques de població, habitatge i força laboral.",
Building.PopulationCounter.DistrictMode,Mode de districte,Indicates that this counter should count only one district's data. District should be the same as in Building.DistrictCenter.DisplayName.
Building.PopulationCounter.GlobalMode,Mode global,Indicates that this counter should count global (settlement-wide) data. Should be consistent with Districts.GlobalView
Building.PopulationCounter.Mode.TotalPopulation,Població total,
Building.PopulationCounter.Mode.TotalBeavers,Total de castors,
Building.PopulationCounter.Mode.Adults,Adults,
Building.PopulationCounter.Mode.Children,Joves,
Building.PopulationCounter.Mode.Bots,Bots,
Building.PopulationCounter.Mode.TotalBeds,Total de llits,
Building.PopulationCounter.Mode.OccupiedBeds,Llits ocupats,
Building.PopulationCounter.Mode.FreeBeds,Llits lliures,
Building.PopulationCounter.Mode.Homeless,Sense llar,
Building.PopulationCounter.Mode.Jobs,Llocs de feina,
Building.PopulationCounter.Mode.Employed,Ocupats,
Building.PopulationCounter.Mode.Unemployed,Sense feina,
Building.PopulationCounter.Mode.Vacancies,Vacants,
Building.PopulationCounter.Mode.TotalWorkers,Total de treballadors,
Building.PopulationCounter.Mode.HealthyWorkers,Treballadors sans,
Building.PopulationCounter.Mode.UnhealthyWorkers,Treballadors no sans,
Building.PopulationCounter.Mode.ContaminatedTotal,Total contaminats,
Building.PopulationCounter.Mode.ContaminatedAdults,Adults contaminats,
Building.PopulationCounter.Mode.ContaminatedChildren,Joves contaminats,
Building.PowerMeter.Description,Supervisa els paràmetres de la xarxa d'energia.,
Building.PowerMeter.DisplayName,Mesurador d'energia,"A building that measures different parameters in a power (shaft) network such as supply, demand, battery charge etc."
Building.PowerMeter.Mode.BatteryChargeLevel,Càrrega de bateria,A stat name - battery charge in percent. Make sure that 'Battery' is consistent with Building.GravityBattery.DisplayName.
Building.PowerMeter.Mode.Demand,Demanda,A stat name - as in 'network power demand'. This should be consistent with Mechanical.* keys.
Building.PowerMeter.Mode.Supply,Subministrament,A stat name - as in 'network power supply'. This should be consistent with Mechanical.* keys.
Building.PowerMeter.Mode.Surplus,Excedent,A stat name - supply minus demand.
Building.PowerShaft.Description,Transfereix energia.,"Power being mechanical/kinetic, not electricity. Alternative name: axle."
Building.PowerShaft.DisplayName,Eix d'energia,"Power being mechanical/kinetic, not electricity. Alternative name: axle."
Building.PowerShaft.FlavorDescription,Un gran invent encara més gran.,Flavor text for the Power Shaft building
Building.PowerWheel.Description,Una font de reserva d'energia accionada per castors.,
Building.PowerWheel.DisplayName,Roda d'energia,Meaning a wheel that produces power
Building.PowerWheel.FlavorDescription,Els castors van adonar-se de seguida que podien copiar tècniques de rosegadors menys avançats.,This building looks like a hamster wheel.
Building.PrintingPress.Description,Processa béns relacionats amb el paper.,Paper should be the same as Good.Paper.DisplayName
Building.PrintingPress.DisplayName,Impremta,
Building.PrintingPress.FlavorDescription,"Normalment, els castors es cruspeixen cada pàgina just després de llegir-la, així que la bona literatura sempre té demanda.",
Building.Refinery.Description,Produeix diversos tipus de combustible per a bots.,Bots should be the same as Bot.PluralDisplayName.
Building.Refinery.DisplayName,Refineria,A building where old food is processed to make biofuel
Building.Refinery.FlavorDescription,"Redueix, refina, recicla.","Adapted ""Reduce, reuse, recycle"" tagline."
Building.Relay.Description,Fa operacions lògiques simples sobre els seus senyals d'entrada.,
Building.Relay.DisplayName,Relé,The name of a building which can retransmit a signal or process it using boolean logic.
Building.Relay.Mode.And,AND,A binaray logic AND operation. Only translate if you really have to but most languages should be better off OK with the English naming because it's a conventional name in electronics.
Building.Relay.Mode.And.Description,<YellowHighlight>Encès</YellowHighlight> si totes dues entrades estan <YellowHighlight>enceses</YellowHighlight>.,A binary logic AND operation.
Building.Relay.Mode.Not,NOT,A binary logic NOT operation. Only translate if you really have to but most languages should be better off OK with the English naming because it's a conventional name in electronics.
Building.Relay.Mode.Not.Description,<YellowHighlight>Encès</YellowHighlight> si l'entrada està <YellowHighlight>apagada</YellowHighlight>.,A binary logic NOT operation.
Building.Relay.Mode.Or,OR,A binary logic OR operation. Only translate if you really have to but most languages should be better off OK with the English naming because it's a conventional name in electronics.
Building.Relay.Mode.Or.Description,<YellowHighlight>Encès</YellowHighlight> si qualsevol entrada està <YellowHighlight>encesa</YellowHighlight>.,A binary logic OR operation.
Building.Relay.Mode.Passthrough,Pas directe,An operation which forwards its input unchanged to its output.
Building.Relay.Mode.Passthrough.Description,<YellowHighlight>Encès</YellowHighlight> si l'entrada està <YellowHighlight>encesa</YellowHighlight>.,An operation which forwards its input unchanged to its output.
Building.Relay.Mode.Xor,XOR,A binary logic XOR operation. Only translate if you really have to but most languages should be better off OK with the English naming because it's a conventional name in electronics.
Building.Relay.Mode.Xor.Description,<YellowHighlight>Encès</YellowHighlight> si una entrada està <YellowHighlight>encesa</YellowHighlight>.,A binary logic XOR operation.
Building.Relic.Description,Tecnologia antiga que es pot demolir per obtenir un impuls de Ciència.,
Building.Relic.DisplayName,Relíquia,Remains of a human structure/device that can be demolished to obtain a certain amount of the Science resource
Building.ReservePile.DisplayName,Pila de reserva,
